Country,year,Adult_Literacy_Rate,Youth_Literacy_Rate_Male,Youth_Literacy_Rate_Female,Literacy_Gender_Gap,Education_Index,Youth_Literacy_Avg,Literacy_Growth_Rate
Bhutan,2012,55.0,90.0,82.0,8.0,75.66666666666667,86.0,1.85185185185186
Bhutan,2017,67.0,93.0,93.0,0.0,84.33333333333333,93.0,21.818181818181827
Bolivia,1976,63.0,91.0,76.0,15.0,76.66666666666667,83.5,0.0
Bolivia,1992,80.0,96.0,92.0,4.0,89.33333333333333,94.0,26.984126984126977
Bolivia,2000,83.5,98.4,96.3,2.1000000000000085,92.73333333333333,97.35,4.374999999999996
Bolivia,2001,87.0,98.2,96.5,1.7000000000000028,93.89999999999999,97.35,4.191616766467066
Bolivia,2002,87.66666666666667,99.1,97.1,2.0,94.62222222222222,98.1,0.766283524904221
Bolivia,2003,88.33333333333333,99.47,96.67,2.799999999999997,94.82444444444445,98.07,0.7604562737642429
Bolivia,2004,89.0,99.6,98.6,1.0,95.73333333333333,99.1,0.7547169811320753
Bolivia,2005,89.66666666666667,99.3,98.4,0.8999999999999915,95.78888888888889,98.85,0.7490636704119868
Bolivia,2006,90.33333333333333,99.4,97.4,2.0,95.71111111111111,98.4,0.7434944237918018
Bolivia,2007,91.0,99.8,99.1,0.7000000000000028,96.63333333333333,99.44999999999999,0.738007380073813
Bolivia,2008,91.0,99.4,99.0,0.4000000000000057,96.46666666666665,99.2,0.0
Bolivia,2009,91.0,99.7,99.1,0.6000000000000085,96.59999999999998,99.4,0.0
Bolivia,2011,92.0,99.3,98.8,0.5,96.7,99.05,1.098901098901095
Bolivia,2012,94.0,99.5,99.2,0.29999999999999716,97.56666666666666,99.35,2.1739130434782705
Bolivia,2013,93.33333333333333,99.5,99.2,0.29999999999999716,97.34444444444443,99.35,-0.7092198581560294
Bolivia,2014,92.66666666666667,99.7,99.2,0.5,97.18888888888888,99.45,-0.7142857142857006
Bolivia,2015,92.0,99.4,99.4,0.0,96.93333333333334,99.4,-0.7194244604316613
Bolivia,2016,92.4,99.5,99.3,0.20000000000000284,97.06666666666666,99.4,0.43478260869564966
Bolivia,2017,92.8,99.4,99.3,0.10000000000000853,97.16666666666667,99.35,0.43290043290042934
Bolivia,2018,93.2,99.7,99.4,0.29999999999999716,97.43333333333334,99.55000000000001,0.4310344827586299
Bolivia,2019,93.6,99.7,99.4,0.29999999999999716,97.56666666666668,99.55000000000001,0.42918454935620964
Bolivia,2020,94.0,99.6,99.5,0.09999999999999432,97.7,99.55,0.42735042735042583
Bolivia,2021,94.0,99.5,99.5,0.0,97.66666666666667,99.5,0.0
Bosnia And Herzegovina,1991,89.0,99.0,99.0,0.0,95.66666666666667,99.0,0.0
Bosnia And Herzegovina,2000,97.0,100.0,100.0,0.0,99.0,100.0,8.98876404494382
Bosnia And Herzegovina,2006,97.0,94.4,99.82,-5.4199999999999875,97.07333333333334,97.11,0.0
Bosnia And Herzegovina,2013,97.0,100.0,100.0,0.0,99.0,100.0,0.0
Botswana,1991,69.0,86.0,92.0,-6.0,82.33333333333333,89.0,0.0
Botswana,2003,81.0,92.0,96.0,-4.0,89.66666666666667,94.0,17.391304347826097
Brazil,1980,75.0,83.0,85.0,-2.0,81.0,84.0,0.0
Brazil,2000,86.0,93.0,96.0,-3.0,91.66666666666667,94.5,14.666666666666671
Brazil,2001,86.75,94.7,96.9,-2.200000000000003,92.78333333333335,95.80000000000001,0.8720930232558155
Brazil,2002,87.5,95.1,97.5,-2.4000000000000057,93.36666666666667,96.3,0.8645533141210304
Brazil,2003,88.25,95.6,97.7,-2.1000000000000085,93.85000000000001,96.65,0.8571428571428674
Brazil,2004,89.0,95.7,97.9,-2.200000000000003,94.2,96.80000000000001,0.8498583569405138
Brazil,2005,89.5,96.1,98.1,-2.0,94.56666666666666,97.1,0.561797752808979
Brazil,2006,90.0,96.8,98.3,-1.5,95.03333333333335,97.55,0.5586592178770999
Brazil,2007,90.0,97.0,98.6,-1.5999999999999943,95.2,97.8,0.0
Brazil,2008,90.0,97.2,98.5,-1.2999999999999972,95.23333333333333,97.85,0.0
Brazil,2009,90.0,97.4,98.7,-1.2999999999999972,95.36666666666667,98.05000000000001,0.0
Brazil,2010,90.0,97.0,98.0,-1.0,95.0,97.5,0.0
Brazil,2011,91.0,97.9,99.1,-1.1999999999999886,96.0,98.5,1.1111111111111072
Brazil,2012,91.0,98.2,99.0,-0.7999999999999972,96.06666666666666,98.6,0.0
Brazil,2013,91.0,98.3,99.2,-0.9000000000000057,96.16666666666667,98.75,0.0
Brazil,2014,92.0,98.4,99.3,-0.8999999999999915,96.56666666666666,98.85,1.098901098901095
Brazil,2015,92.0,98.6,99.3,-0.7000000000000028,96.63333333333333,98.94999999999999,0.0
Brazil,2016,93.0,98.7,99.5,-0.7999999999999972,97.06666666666666,99.1,1.0869565217391353
Brazil,2017,93.0,98.8,99.5,-0.7000000000000028,97.10000000000001,99.15,0.0
Brazil,2018,93.0,98.7,99.4,-0.7000000000000028,97.03333333333335,99.05000000000001,0.0
Brazil,2019,93.0,98.7,99.5,-0.7999999999999972,97.06666666666666,99.1,0.0
Brazil,2020,93.0,99.0,99.5,-0.5,97.16666666666667,99.25,0.0
Brazil,2021,93.0,99.1,99.5,-0.4000000000000057,97.2,99.3,0.0
Brazil,2022,93.0,99.0,99.6,-0.5999999999999943,97.2,99.3,0.0
Brazil,2023,93.0,99.0,99.6,-0.5999999999999943,97.2,99.3,0.0
Brunei,1981,78.0,94.0,93.0,1.0,88.33333333333333,93.5,0.0
Brunei,1991,88.0,98.0,98.0,0.0,94.66666666666667,98.0,12.82051282051282
Brunei,2001,93.0,99.0,99.0,0.0,97.0,99.0,5.681818181818188
Brunei,2011,96.0,99.0,100.0,-1.0,98.33333333333333,99.5,3.2258064516129004
Bulgaria,2001,98.0,98.0,98.0,0.0,98.0,98.0,0.0
Bulgaria,2011,98.0,98.0,98.0,0.0,98.0,98.0,0.0
Burkina Faso,1975,9.0,22.0,7.0,15.0,12.666666666666666,14.5,0.0
Burkina Faso,1991,14.0,27.0,14.0,13.0,18.333333333333332,20.5,55.55555555555556
Burkina Faso,1996,13.0,25.0,14.0,11.0,17.333333333333332,19.5,-7.14285714285714
Burkina Faso,2003,22.0,38.0,25.0,13.0,28.333333333333332,31.5,69.23076923076923
Burkina Faso,2005,24.0,40.0,26.0,14.0,30.0,33.0,9.090909090909083
Burkina Faso,2006,22.0,40.0,27.0,13.0,29.666666666666668,33.5,-8.333333333333337
Burkina Faso,2007,28.0,47.0,33.0,14.0,36.0,40.0,27.27272727272727
Burkina Faso,2010,31.5,47.04,27.24,19.8,35.26,37.14,12.5
Burkina Faso,2014,35.0,57.0,44.0,13.0,45.333333333333336,50.5,11.111111111111116
Burkina Faso,2018,39.0,64.0,54.0,10.0,52.333333333333336,59.0,11.428571428571432
Burkina Faso,2019,30.0,51.0,44.0,7.0,41.666666666666664,47.5,-23.076923076923073
Burkina Faso,2021,36.96738,66.64593,58.758,7.887930000000004,54.12377000000001,62.701965,23.224599999999995
Burkina Faso,2022,40.92361,65.47311,60.56925,4.903860000000009,55.655323333333335,63.02118,10.701948582777575
Burundi,1979,23.0,41.0,21.0,20.0,28.333333333333332,31.0,0.0
Burundi,1990,37.0,59.0,48.0,11.0,48.0,53.5,60.86956521739131
Burundi,2000,59.0,77.0,70.0,7.0,68.66666666666667,73.5,59.45945945945945
Burundi,2005,53.5,94.4,52.83,41.57000000000001,66.91000000000001,73.61500000000001,-9.322033898305083
Burundi,2008,48.0,67.0,57.0,10.0,57.333333333333336,62.0,-10.280373831775702
Burundi,2010,55.0,82.66,66.51,16.14999999999999,68.05666666666667,74.58500000000001,14.583333333333325
Burundi,2014,62.0,85.0,75.0,10.0,74.0,80.0,12.72727272727272
Burundi,2016,65.68774,86.7551,82.08605,4.669049999999999,78.17629666666666,84.420575,5.947967741935489
Burundi,2017,68.0,91.0,86.0,5.0,81.66666666666667,88.5,3.520078480398303
Cambodia,1998,67.0,82.0,71.0,11.0,73.33333333333333,76.5,0.0
Cambodia,2000,70.5,94.4,54.67,39.730000000000004,73.19,74.535,5.223880597014929
Cambodia,2004,74.0,88.0,79.0,9.0,80.33333333333333,83.5,4.964539007092195
Cambodia,2005,75.5,100.0,67.33,32.67,80.94333333333333,83.66499999999999,2.0270270270270174
Cambodia,2008,77.0,89.0,86.0,3.0,84.0,87.5,1.9867549668874274
Cambodia,2009,76.0,88.0,86.0,2.0,83.33333333333333,87.0,-1.2987012987012991
Cambodia,2010,77.0,80.6,78.02,2.5799999999999983,78.54,79.31,1.3157894736842035
Cambodia,2014,78.0,90.0,90.0,0.0,86.0,90.0,1.298701298701288
Cambodia,2015,81.0,92.0,93.0,-1.0,88.66666666666667,92.5,3.8461538461538547
Cambodia,2021,71.92725,90.30829,93.50569,-3.197400000000002,85.24707666666667,91.90699000000001,-11.200925925925919
Cameroon,1976,41.0,80.0,59.0,21.0,60.0,69.5,0.0
Cameroon,2000,68.0,88.0,78.0,10.0,78.0,83.0,65.85365853658536
Cameroon,2004,69.0,81.39,67.65,13.739999999999995,72.67999999999999,74.52000000000001,1.4705882352941124
Cameroon,2006,70.0,94.4,64.67,29.730000000000004,76.35666666666667,79.535,1.449275362318847
Cameroon,2007,71.0,89.0,77.0,12.0,79.0,83.0,1.4285714285714235
Cameroon,2010,71.0,85.0,76.0,9.0,77.33333333333333,80.5,0.0
Cameroon,2011,71.51571,86.92,73.41,13.510000000000005,77.28190333333333,80.16499999999999,0.7263521126760653
Cameroon,2014,72.03142,94.4,100.0,-5.599999999999994,88.81047333333333,97.2,0.7211142838405626
Cameroon,2018,72.54713,87.59698,76.3945,11.202480000000008,78.84620333333334,81.99574,0.7159514556286606
Cape Verde,1990,63.0,90.0,86.0,4.0,79.66666666666667,88.0,0.0
Cape Verde,2012,85.0,98.0,98.0,0.0,93.66666666666667,98.0,34.92063492063493
Cape Verde,2015,87.0,98.0,99.0,-1.0,94.66666666666667,98.5,2.35294117647058
Cayman Islands,2007,99.0,99.0,99.0,0.0,99.0,99.0,0.0
Central African Republic,1975,18.0,56.0,20.0,36.0,31.333333333333332,38.0,0.0
Central African Republic,1988,34.0,63.0,35.0,28.0,44.0,49.0,88.88888888888889
Central African Republic,2000,51.0,73.0,49.0,24.0,57.666666666666664,61.0,50.0
Central African Republic,2006,48.147596666666665,94.4,21.51,72.89,54.68586555555555,57.955000000000005,-5.592947712418306
Central African Republic,2010,45.29519333333334,94.4,27.63,66.77000000000001,55.775064444444446,61.015,-5.924290163600398
Central African Republic,2019,42.44279,64.90382,36.67682,28.226999999999997,48.00781,50.790319999999994,-6.297364297227126
Central And Southern Asia (Sdg),1975,38.60951,63.08979,35.88069,27.2091,45.85999666666667,49.485240000000005,0.0
Central And Southern Asia (Sdg),1976,38.67103,63.16943,35.99637,27.17306,45.94561000000001,49.582899999999995,0.15933898150999326
Central And Southern Asia (Sdg),1977,39.32173,63.65826,37.11797,26.54029,46.69932,50.388115,1.6826549486786302
Central And Southern Asia (Sdg),1978,39.97063,64.04982,38.23392,25.8159,47.418123333333334,51.14187,1.650232581323352
Central And Southern Asia (Sdg),1979,40.614,64.35557,39.34306,25.01251,48.10421,51.849315000000004,1.6096068538324237
Central And Southern Asia (Sdg),1980,41.22859,64.54994,40.34363,24.20631000000001,48.70738666666667,52.446785000000006,1.51324666371202
Central And Southern Asia (Sdg),1981,41.8161,64.62395,41.23879,23.385159999999992,49.226279999999996,52.93137,1.4250062881122183
Central And Southern Asia (Sdg),1982,42.48007,64.87071,42.33691,22.5338,49.895896666666665,53.60381,1.5878333943146306
Central And Southern Asia (Sdg),1983,43.19952,65.06471,43.46367,21.601040000000005,50.575966666666666,54.26419,1.693617736505626
Central And Southern Asia (Sdg),1984,43.8527,65.18798,44.54084,20.647139999999993,51.19384,54.86441,1.5120075408245226
Central And Southern Asia (Sdg),1985,44.50827,65.35568,45.61228,19.74340000000001,51.825410000000005,55.48398,1.4949364577323765
Central And Southern Asia (Sdg),1986,45.16565,65.54987,46.6844,18.865470000000002,52.466640000000005,56.117135,1.4769839402879459
Central And Southern Asia (Sdg),1987,45.82521,65.81714,47.70883,18.108309999999996,53.11706,56.762985,1.4603133133255009
Central And Southern Asia (Sdg),1988,46.56606,68.65796,45.84002,22.81794,53.68801333333334,57.248990000000006,1.6166865356427307
Central And Southern Asia (Sdg),1989,47.32452,69.49879,47.43975,22.059040000000003,54.754353333333334,58.469269999999995,1.6287828517164593
Central And Southern Asia (Sdg),1990,48.32116,70.41392,49.24991,21.164010000000005,55.99499666666667,59.831915,2.105969590394152
Central And Southern Asia (Sdg),1991,49.05992,71.12513,50.83163,20.2935,57.005559999999996,60.97838,1.5288540258553418
Central And Southern Asia (Sdg),1992,50.02463,72.52291,52.2682,20.254709999999996,58.27191333333334,62.395555,1.9663913027171853
Central And Southern Asia (Sdg),1993,50.96456,73.86445,53.6906,20.17385,59.50653666666667,63.777525000000004,1.8789344368963734
Central And Southern Asia (Sdg),1994,51.65748,74.50486,55.22097,19.283889999999992,60.461103333333334,64.862915,1.3596114633384504
Central And Southern Asia (Sdg),1995,52.48868,75.20815,56.90365,18.304500000000004,61.53349333333333,66.05590000000001,1.60906029484984
Central And Southern Asia (Sdg),1996,53.27746,75.8941,58.44146,17.452639999999995,62.53767333333334,67.16778,1.5027621193750562
Central And Southern Asia (Sdg),1997,54.06332,76.53233,59.79875,16.733580000000003,63.464800000000004,68.16554,1.4750327812174113
Central And Southern Asia (Sdg),1998,58.53805,80.47533,62.4221,18.05323,67.14515999999999,71.44871499999999,8.276831685512477
Central And Southern Asia (Sdg),1999,59.31843,81.09931,64.21235,16.886960000000002,68.21003,72.65583000000001,1.3331158109981533
Central And Southern Asia (Sdg),2000,60.08303,81.62344,65.90239,15.721050000000005,69.20295333333333,73.76291499999999,1.2889754499571193
Central And Southern Asia (Sdg),2001,60.84338,82.06134,67.50308,14.558260000000004,70.13593333333334,74.78220999999999,1.2654987606317558
Central And Southern Asia (Sdg),2002,61.62705,82.56851,69.10661,13.4619,71.10072333333333,75.83756,1.288011941479894
Central And Southern Asia (Sdg),2003,62.51307,83.6186,70.32368,13.294920000000005,72.15178333333333,76.97113999999999,1.437712822534909
Central And Southern Asia (Sdg),2004,63.28101,84.02438,71.84613,12.178249999999991,73.05050666666666,77.935255,1.228447107140962
Central And Southern Asia (Sdg),2005,63.14516,85.62037,72.0607,13.559669999999997,73.60874333333332,78.84053499999999,-0.21467735739364446
Central And Southern Asia (Sdg),2006,63.28799,84.61482,73.06606,11.548760000000001,73.65629,78.84044,0.22619310807037163
Central And Southern Asia (Sdg),2007,64.09655,84.8928,74.62511,10.267689999999988,74.53815333333334,79.758955,1.277588370242122
Central And Southern Asia (Sdg),2008,65.15713,85.80285,76.26355,9.539300000000011,75.74117666666666,81.0332,1.6546600402049805
Central And Southern Asia (Sdg),2009,65.98215,86.28822,77.79943,8.488789999999995,76.68993333333334,82.043825,1.2662006445035345
Central And Southern Asia (Sdg),2010,68.35281,87.72251,79.15094,8.571569999999994,78.40875333333334,83.436725,3.5928808018532266
Central And Southern Asia (Sdg),2011,68.73041,87.85644,80.23454,7.621900000000011,78.94046333333334,84.04549,0.5524279104253349
Central And Southern Asia (Sdg),2012,68.78113,88.13688,81.02616,7.110720000000001,79.31472333333333,84.58152000000001,0.07379557316768981
Central And Southern Asia (Sdg),2013,69.72007,89.19475,82.70196,6.492789999999999,80.53892666666667,85.94835499999999,1.3651127860214052
Central And Southern Asia (Sdg),2014,70.40182,89.51995,83.84325,5.676699999999997,81.25500666666666,86.6816,0.9778389493871664
Central And Southern Asia (Sdg),2015,71.63145,90.11613,85.22724,4.8888900000000035,82.32494,87.671685,1.7465883694484097
Central And Southern Asia (Sdg),2016,72.85133,90.8607,86.58227,4.27843,83.43143333333333,88.721485,1.7029949833488045
Central And Southern Asia (Sdg),2017,73.37587,91.27249,87.15818,4.114310000000003,83.93551333333335,89.21533500000001,0.720014308592587
Central And Southern Asia (Sdg),2018,73.86521,91.21208,86.94566,4.2664199999999965,84.00765,89.07887,0.6668949887749243
Central And Southern Asia (Sdg),2019,73.66493,93.88992,89.33263,4.557290000000009,85.62916,91.611275,-0.2711425311049731
Central And Southern Asia (Sdg),2020,74.33241,94.12073,89.98798,4.1327500000000015,86.14703999999999,92.05435499999999,0.9061028090300294
Central And Southern Asia (Sdg),2021,75.07198,94.41743,90.64738,3.7700499999999977,86.71226333333334,92.532405,0.9949495785216644
Central And Southern Asia (Sdg),2022,75.81275,94.68063,91.34677,3.333859999999987,87.28005,93.0137,0.9867463199984883
Central And Southern Asia (Sdg),2023,76.51431,94.92773,91.97111,2.956620000000001,87.80438333333332,93.44942,0.9253852419283115
Chad,1993,11.0,26.0,9.0,17.0,15.333333333333334,17.5,0.0
Chad,2000,26.0,56.0,23.0,33.0,35.0,39.5,136.36363636363637
Chad,2004,28.0,54.0,31.0,23.0,37.666666666666664,42.5,7.692307692307687
Chad,2010,25.0,94.4,16.88,77.52000000000001,45.42666666666667,55.64,-10.71428571428571
Chad,2016,22.0,41.0,22.0,19.0,28.333333333333332,31.5,-12.0
Chad,2019,30.62792,56.26247,33.32039,22.942079999999997,40.07026,44.791430000000005,39.217818181818174
Chile,1982,91.0,96.0,97.0,-1.0,94.66666666666667,96.5,0.0
Chile,1992,94.0,98.0,99.0,-1.0,97.0,98.5,3.296703296703307
Chile,2000,95.0,98.9,99.3,-0.3999999999999915,97.73333333333333,99.1,1.0638297872340496
Chile,2002,96.0,99.0,99.0,0.0,98.0,99.0,1.0526315789473717
Chile,2003,96.25,98.9,99.4,-0.5,98.18333333333334,99.15,0.26041666666667407
Chile,2006,96.5,98.9,99.3,-0.3999999999999915,98.23333333333333,99.1,0.2597402597402487
Chile,2009,96.75,99.2,99.5,-0.29999999999999716,98.48333333333333,99.35,0.2590673575129543
Chile,2011,97.0,99.2,99.6,-0.3999999999999915,98.59999999999998,99.4,0.25839793281654533
Chile,2013,96.0,99.0,99.1,-0.09999999999999432,98.03333333333335,99.05,-1.0309278350515427
Chile,2015,97.0,99.3,99.4,-0.10000000000000853,98.56666666666668,99.35,1.041666666666674
Chile,2017,96.0,99.0,99.0,0.0,98.0,99.0,-1.0309278350515427
Chile,2022,96.0,99.1,99.5,-0.4000000000000057,98.2,99.3,0.0
China,1982,66.0,95.0,82.0,13.0,81.0,88.5,0.0
China,1990,78.0,97.0,91.0,6.0,88.66666666666667,94.0,18.181818181818187
China,2000,91.0,99.0,99.0,0.0,96.33333333333333,99.0,16.666666666666675
China,2010,95.0,100.0,100.0,0.0,98.33333333333333,100.0,4.395604395604402
China,2020,97.0,100.0,100.0,0.0,99.0,100.0,2.1052631578947434
Colombia,1993,91.0,95.0,96.0,-1.0,94.0,95.5,0.0
Colombia,1996,91.0,96.0,98.0,-2.0,95.0,97.0,0.0
Colombia,2000,91.5,94.4,100.0,-5.599999999999994,95.3,97.2,0.5494505494505475
Colombia,2002,92.0,96.9,98.0,-1.0999999999999943,95.63333333333333,97.45,0.5464480874316946
Colombia,2003,92.5,96.7,98.3,-1.5999999999999943,95.83333333333333,97.5,0.5434782608695565
Colombia,2004,93.0,97.5,98.4,-0.9000000000000057,96.3,97.95,0.540540540540535
