entity,code,year,literacy_rate,mf_youth_and_adults__15_64_years__average_years_of_education,population_historical,owid_region
Czechia,CZE,1960,,8.49,9541605.0,Europe
Czechia,CZE,1965,,9.16,9706844.0,Europe
Czechia,CZE,1970,,9.88,9801253.0,Europe
Czechia,CZE,1975,,10.34,10030787.0,Europe
Czechia,CZE,1980,,10.69,10275404.0,Europe
Czechia,CZE,1985,,10.91,10305141.0,Europe
Czechia,CZE,1990,,11.35,10301989.0,Europe
Czechia,CZE,1995,,12.3,10312041.0,Europe
Czechia,CZE,2000,,12.78,10236809.0,Europe
Czechia,CZE,2005,,12.81,10280155.0,Europe
Czechia,CZE,2010,,12.8,10464035.0,Europe
Czechia,CZE,2015,,12.93,10524418.0,Europe
Czechia,CZE,2020,,12.93,10550129.0,Europe
Czechoslovakia,OWID_CZS,1950,97.5,,12390000.0,Europe
Democratic Republic of Congo,COD,1870,,0.01,8828887.0,Africa
Democratic Republic of Congo,COD,1875,,0.01,9167396.0,Africa
Democratic Republic of Congo,COD,1880,,0.01,9508357.0,Africa
Democratic Republic of Congo,COD,1885,,0.01,9747652.0,Africa
Democratic Republic of Congo,COD,1890,,0.01,9916704.0,Africa
Democratic Republic of Congo,COD,1895,,0.01,9723789.0,Africa
Democratic Republic of Congo,COD,1900,,0.02,9451620.0,Africa
Democratic Republic of Congo,COD,1905,,0.03,9017966.0,Africa
Democratic Republic of Congo,COD,1910,,0.03,8599666.0,Africa
Democratic Republic of Congo,COD,1915,,0.24,8330869.0,Africa
Democratic Republic of Congo,COD,1920,,0.25,8182274.0,Africa
Democratic Republic of Congo,COD,1925,,0.26,8639430.0,Africa
Democratic Republic of Congo,COD,1930,,0.3,9220147.0,Africa
Democratic Republic of Congo,COD,1935,,0.34,9803193.0,Africa
Democratic Republic of Congo,COD,1940,,0.41,10442344.0,Africa
Democratic Republic of Congo,COD,1945,,0.49,11291347.0,Africa
Democratic Republic of Congo,COD,1950,37.5,0.62,12294293.0,Africa
Democratic Republic of Congo,COD,1955,,0.72,13630350.0,Africa
Democratic Republic of Congo,COD,1960,,0.88,15264853.0,Africa
Democratic Republic of Congo,COD,1965,,1.06,17427807.0,Africa
Democratic Republic of Congo,COD,1970,,1.3,20137442.0,Africa
Democratic Republic of Congo,COD,1975,,1.63,23021102.0,Africa
Democratic Republic of Congo,COD,1980,,2.15,26711098.0,Africa
Democratic Republic of Congo,COD,1985,,2.86,31264819.0,Africa
Democratic Republic of Congo,COD,1990,,3.31,36684065.0,Africa
Democratic Republic of Congo,COD,1995,,3.52,44433718.0,Africa
Democratic Republic of Congo,COD,2000,,3.51,50507445.0,Africa
Democratic Republic of Congo,COD,2001,67.0,,52132646.0,Africa
Democratic Republic of Congo,COD,2005,,3.63,58775726.0,Africa
Democratic Republic of Congo,COD,2010,,3.79,68563038.0,Africa
Democratic Republic of Congo,COD,2012,75.0,,73254623.0,Africa
Democratic Republic of Congo,COD,2015,,4.3,81035532.0,Africa
Democratic Republic of Congo,COD,2016,77.0,,83956416.0,Africa
Democratic Republic of Congo,COD,2018,73.55303,,90047647.0,Africa
Democratic Republic of Congo,COD,2020,,4.85,95990000.0,Africa
Denmark,DNK,1870,,2.45,1887891.0,Europe
Denmark,DNK,1875,,2.5,1983412.0,Europe
Denmark,DNK,1880,,2.56,2082563.0,Europe
Denmark,DNK,1885,,2.63,2186768.0,Europe
Denmark,DNK,1890,,2.71,2297977.0,Europe
Denmark,DNK,1895,,2.78,2426480.0,Europe
Denmark,DNK,1900,,2.84,2565333.0,Europe
Denmark,DNK,1905,,2.91,2720375.0,Europe
Denmark,DNK,1910,,3.17,2886076.0,Europe
Denmark,DNK,1915,,3.39,3061428.0,Europe
Denmark,DNK,1920,,3.64,3241362.0,Europe
Denmark,DNK,1925,,3.93,3393860.0,Europe
Denmark,DNK,1930,,4.26,3545296.0,Europe
Denmark,DNK,1935,,4.59,3689717.0,Europe
Denmark,DNK,1940,,4.89,3844754.0,Europe
Denmark,DNK,1945,,5.34,4051891.0,Europe
Denmark,DNK,1950,98.5,5.63,4268408.0,Europe
Denmark,DNK,1955,,4.78,4438843.0,Europe
Denmark,DNK,1960,,5.3,4579347.0,Europe
Denmark,DNK,1965,,6.06,4758837.0,Europe
Denmark,DNK,1970,,7.19,4928674.0,Europe
Denmark,DNK,1975,,8.01,5060403.0,Europe
Denmark,DNK,1980,,8.85,5123079.0,Europe
Denmark,DNK,1985,,9.59,5113878.0,Europe
Denmark,DNK,1990,,10.48,5141024.0,Europe
Denmark,DNK,1995,,11.04,5233364.0,Europe
Denmark,DNK,2000,,11.5,5339659.0,Europe
Denmark,DNK,2005,,11.81,5419550.0,Europe
Denmark,DNK,2010,,11.97,5547865.0,Europe
Denmark,DNK,2015,,11.67,5683698.0,Europe
Denmark,DNK,2020,,11.69,5831529.0,Europe
Djibouti,DJI,1950,3.0,,62349.0,Africa
Dominican Republic,DOM,1870,,0.07,243047.0,North America
Dominican Republic,DOM,1875,,0.1,275920.0,North America
Dominican Republic,DOM,1880,,0.14,313223.0,North America
Dominican Republic,DOM,1885,,0.19,355568.0,North America
Dominican Republic,DOM,1890,,0.23,403638.0,North America
Dominican Republic,DOM,1895,,0.26,458206.0,North America
Dominican Republic,DOM,1900,,0.29,521386.0,North America
Dominican Republic,DOM,1905,,0.7,601881.0,North America
Dominican Republic,DOM,1910,,1.06,694364.0,North America
Dominican Republic,DOM,1915,,1.3,787593.0,North America
Dominican Republic,DOM,1920,,1.53,896843.0,North America
Dominican Republic,DOM,1925,,1.85,1065260.0,North America
Dominican Republic,DOM,1930,,2.21,1267768.0,North America
Dominican Republic,DOM,1935,,2.3,1469414.0,North America
Dominican Republic,DOM,1940,,2.3,1702095.0,North America
Dominican Republic,DOM,1945,,2.39,2011881.0,North America
Dominican Republic,DOM,1950,42.5,2.53,2379896.0,North America
Dominican Republic,DOM,1955,,2.58,2777636.0,North America
Dominican Republic,DOM,1960,,2.78,3268341.0,North America
Dominican Republic,DOM,1965,,3.15,3808965.0,North America
Dominican Republic,DOM,1970,,3.74,4399294.0,North America
Dominican Republic,DOM,1975,,4.3,5046783.0,North America
Dominican Republic,DOM,1980,,4.98,5729043.0,North America
Dominican Republic,DOM,1981,73.0,,5868459.0,North America
Dominican Republic,DOM,1985,,5.58,6430404.0,North America
Dominican Republic,DOM,1990,,6.13,7151165.0,North America
Dominican Republic,DOM,1995,,6.58,7888120.0,North America
Dominican Republic,DOM,2000,,7.03,8584196.0,North America
Dominican Republic,DOM,2002,87.0,,8852231.0,North America
Dominican Republic,DOM,2005,,7.54,9225035.0,North America
Dominican Republic,DOM,2007,88.0,,9455663.0,North America
Dominican Republic,DOM,2010,90.0,8.12,9820180.0,North America
Dominican Republic,DOM,2011,90.0,,9945623.0,North America
Dominican Republic,DOM,2012,90.0,,10070409.0,North America
Dominican Republic,DOM,2013,91.0,,10193838.0,North America
Dominican Republic,DOM,2014,92.0,,10315523.0,North America
Dominican Republic,DOM,2015,92.0,8.48,10434826.0,North America
Dominican Republic,DOM,2016,94.0,,10551430.0,North America
Dominican Republic,DOM,2020,,9.04,11008298.0,North America
East Asia and Pacific (WB),,1976,65.691,,,
East Asia and Pacific (WB),,1977,65.87666,,,
East Asia and Pacific (WB),,1978,66.96806,,,
East Asia and Pacific (WB),,1979,68.20414,,,
East Asia and Pacific (WB),,1980,69.30146,,,
East Asia and Pacific (WB),,1981,70.34557,,,
East Asia and Pacific (WB),,1982,71.3144,,,
East Asia and Pacific (WB),,1983,72.2447,,,
East Asia and Pacific (WB),,1984,73.23163,,,
East Asia and Pacific (WB),,1985,74.16798,,,
East Asia and Pacific (WB),,1986,75.00072,,,
East Asia and Pacific (WB),,1987,76.17425,,,
East Asia and Pacific (WB),,1988,79.95977,,,
East Asia and Pacific (WB),,1989,80.58923,,,
East Asia and Pacific (WB),,1990,81.17076,,,
East Asia and Pacific (WB),,1991,81.71117,,,
East Asia and Pacific (WB),,1992,82.22357,,,
East Asia and Pacific (WB),,1993,82.68984,,,
East Asia and Pacific (WB),,1994,83.24469,,,
East Asia and Pacific (WB),,1995,83.8043,,,
East Asia and Pacific (WB),,1996,84.29005,,,
East Asia and Pacific (WB),,1997,89.27749,,,
East Asia and Pacific (WB),,1998,89.64291,,,
East Asia and Pacific (WB),,1999,89.96028,,,
East Asia and Pacific (WB),,2000,90.32185,,,
East Asia and Pacific (WB),,2001,90.63564,,,
East Asia and Pacific (WB),,2002,90.98982,,,
East Asia and Pacific (WB),,2003,91.36144,,,
East Asia and Pacific (WB),,2004,91.69448,,,
East Asia and Pacific (WB),,2005,92.02961,,,
East Asia and Pacific (WB),,2006,92.37919,,,
East Asia and Pacific (WB),,2007,93.5125,,,
East Asia and Pacific (WB),,2008,93.81618,,,
East Asia and Pacific (WB),,2009,94.08518,,,
East Asia and Pacific (WB),,2010,94.20017,,,
East Asia and Pacific (WB),,2011,93.8646,,,
East Asia and Pacific (WB),,2012,94.09502,,,
East Asia and Pacific (WB),,2013,94.20693,,,
East Asia and Pacific (WB),,2014,94.71124,,,
East Asia and Pacific (WB),,2015,94.92792,,,
East Asia and Pacific (WB),,2016,95.13196,,,
East Asia and Pacific (WB),,2017,95.32305,,,
East Asia and Pacific (WB),,2018,95.36943,,,
East Asia and Pacific (WB),,2019,95.80688,,,
East Asia and Pacific (WB),,2020,96.0287,,,
East Asia and Pacific (WB),,2021,96.16493,,,
East Asia and Pacific (WB),,2022,96.30093,,,
East Asia and Pacific (WB),,2023,96.43049,,,
East Timor,TLS,1950,3.0,,414767.0,Asia
East Timor,TLS,2001,38.0,,812253.0,Asia
East Timor,TLS,2007,51.0,,1004898.0,Asia
East Timor,TLS,2010,58.0,,1084688.0,Asia
East Timor,TLS,2016,65.77913,,1228314.0,Asia
Eastern and South-Eastern Asia (SDG),,1976,65.50171,,,
Eastern and South-Eastern Asia (SDG),,1977,65.68772,,,
Eastern and South-Eastern Asia (SDG),,1978,66.79352,,,
Eastern and South-Eastern Asia (SDG),,1979,68.04645,,,
Eastern and South-Eastern Asia (SDG),,1980,69.1582,,,
Eastern and South-Eastern Asia (SDG),,1981,70.21553,,,
Eastern and South-Eastern Asia (SDG),,1982,71.19647,,,
Eastern and South-Eastern Asia (SDG),,1983,72.1383,,,
Eastern and South-Eastern Asia (SDG),,1984,73.13766,,,
Eastern and South-Eastern Asia (SDG),,1985,74.08572,,,
Eastern and South-Eastern Asia (SDG),,1986,74.92859,,,
Eastern and South-Eastern Asia (SDG),,1987,76.1177,,,
Eastern and South-Eastern Asia (SDG),,1988,79.95864,,,
Eastern and South-Eastern Asia (SDG),,1989,80.59546,,,
Eastern and South-Eastern Asia (SDG),,1990,81.18364,,,
Eastern and South-Eastern Asia (SDG),,1991,81.73081,,,
Eastern and South-Eastern Asia (SDG),,1992,82.24957,,,
Eastern and South-Eastern Asia (SDG),,1993,82.72173,,,
Eastern and South-Eastern Asia (SDG),,1994,83.28386,,,
Eastern and South-Eastern Asia (SDG),,1995,83.85079,,,
Eastern and South-Eastern Asia (SDG),,1996,84.34014,,,
Eastern and South-Eastern Asia (SDG),,1997,89.39987,,,
Eastern and South-Eastern Asia (SDG),,1998,89.76716,,,
Eastern and South-Eastern Asia (SDG),,1999,90.08641,,,
Eastern and South-Eastern Asia (SDG),,2000,90.45192,,,
Eastern and South-Eastern Asia (SDG),,2001,90.76801,,,
Eastern and South-Eastern Asia (SDG),,2002,91.12475,,,
Eastern and South-Eastern Asia (SDG),,2003,91.49954,,,
Eastern and South-Eastern Asia (SDG),,2004,91.83497,,,
Eastern and South-Eastern Asia (SDG),,2005,92.17309,,,
Eastern and South-Eastern Asia (SDG),,2006,92.52596,,,
Eastern and South-Eastern Asia (SDG),,2007,93.67552,,,
Eastern and South-Eastern Asia (SDG),,2008,93.98298,,,
Eastern and South-Eastern Asia (SDG),,2009,94.25554,,,
Eastern and South-Eastern Asia (SDG),,2010,94.37094,,,
Eastern and South-Eastern Asia (SDG),,2011,94.03088,,,
Eastern and South-Eastern Asia (SDG),,2012,94.26621,,,
Eastern and South-Eastern Asia (SDG),,2013,94.38122,,,
Eastern and South-Eastern Asia (SDG),,2014,94.89836,,,
Eastern and South-Eastern Asia (SDG),,2015,95.12345,,,
Eastern and South-Eastern Asia (SDG),,2016,95.33295,,,
Eastern and South-Eastern Asia (SDG),,2017,95.52963,,,
Eastern and South-Eastern Asia (SDG),,2018,95.57909,,,
Eastern and South-Eastern Asia (SDG),,2019,96.02655,,,
Eastern and South-Eastern Asia (SDG),,2020,96.25462,,,
Eastern and South-Eastern Asia (SDG),,2021,96.39394,,,
Eastern and South-Eastern Asia (SDG),,2022,96.53545,,,
Eastern and South-Eastern Asia (SDG),,2023,96.6705,,,
Ecuador,ECU,1870,,0.19,1026980.0,South America
Ecuador,ECU,1875,,0.24,1087561.0,South America
Ecuador,ECU,1880,,0.3,1151684.0,South America
Ecuador,ECU,1885,,0.37,1219574.0,South America
Ecuador,ECU,1890,,0.45,1291452.0,South America
Ecuador,ECU,1895,,0.56,1367550.0,South America
Ecuador,ECU,1900,,0.9,1451333.0,South America
Ecuador,ECU,1905,,1.04,1561601.0,South America
Ecuador,ECU,1910,,1.25,1679429.0,South America
Ecuador,ECU,1915,,1.42,1777234.0,South America
Ecuador,ECU,1920,,1.58,1870163.0,South America
Ecuador,ECU,1925,,1.68,1951155.0,South America
Ecuador,ECU,1930,,1.86,2052817.0,South America
Ecuador,ECU,1935,,2.08,2291278.0,South America
Ecuador,ECU,1940,,2.23,2592696.0,South America
Ecuador,ECU,1945,,2.43,3018002.0,South America
Ecuador,ECU,1950,57.5,2.62,3516791.0,South America
Ecuador,ECU,1955,,2.93,4006189.0,South America
Ecuador,ECU,1960,,3.29,4590893.0,South America
Ecuador,ECU,1965,,4.0,5303960.0,South America
Ecuador,ECU,1970,,4.55,6155392.0,South America
Ecuador,ECU,1975,,5.07,7118258.0,South America
Ecuador,ECU,1980,,6.35,8165882.0,South America
Ecuador,ECU,1982,84.0,,8611296.0,South America
Ecuador,ECU,1985,,6.76,9311152.0,South America
Ecuador,ECU,1990,88.0,7.23,10473674.0,South America
Ecuador,ECU,1995,,7.32,11590519.0,South America
Ecuador,ECU,2000,,7.41,12689215.0,South America
Ecuador,ECU,2001,91.0,,12910736.0,South America
Ecuador,ECU,2005,,7.7,13846162.0,South America
Ecuador,ECU,2007,92.0,,14328783.0,South America
Ecuador,ECU,2008,92.0,,14575201.0,South America
Ecuador,ECU,2009,92.0,,14825960.0,South America
Ecuador,ECU,2010,92.0,8.02,15076697.0,South America
Ecuador,ECU,2011,92.0,,15326232.0,South America
Ecuador,ECU,2012,92.0,,15572195.0,South America
Ecuador,ECU,2013,93.0,,15807132.0,South America
Ecuador,ECU,2014,94.0,,16035127.0,South America
Ecuador,ECU,2015,94.0,8.54,16266229.0,South America
Ecuador,ECU,2016,94.0,,16505142.0,South America
Ecuador,ECU,2017,93.0,,16759515.0,South America
Ecuador,ECU,2020,94.0,9.07,17546058.0,South America
Ecuador,ECU,2021,94.0,,17682454.0,South America
Ecuador,ECU,2022,94.0,,17823900.0,South America
Egypt,EGY,1870,,0.02,6885909.0,Africa
Egypt,EGY,1875,,0.02,7223941.0,Africa
Egypt,EGY,1880,,0.03,7594768.0,Africa
Egypt,EGY,1885,,0.04,8091603.0,Africa
Egypt,EGY,1890,,0.05,8643889.0,Africa
Egypt,EGY,1895,,0.07,9268507.0,Africa
Egypt,EGY,1900,,0.09,9940289.0,Africa
Egypt,EGY,1905,,0.12,10636440.0,Africa
Egypt,EGY,1907,7.3,,10926812.0,Africa
Egypt,EGY,1910,,0.16,11361079.0,Africa
Egypt,EGY,1915,,0.22,12028348.0,Africa
Egypt,EGY,1917,8.8,,12299362.0,Africa
Egypt,EGY,1920,,0.31,12731391.0,Africa
Egypt,EGY,1925,,0.41,13461191.0,Africa
Egypt,EGY,1927,14.1,,13762974.0,Africa
Egypt,EGY,1930,,0.46,14249967.0,Africa
Egypt,EGY,1935,,0.3,15227663.0,Africa
Egypt,EGY,1937,14.8,,15646375.0,Africa
Egypt,EGY,1940,,0.36,16423191.0,Africa
Egypt,EGY,1945,,0.42,18580434.0,Africa
Egypt,EGY,1950,22.5,0.54,21148168.0,Africa
Egypt,EGY,1955,,0.7,23795234.0,Africa
Egypt,EGY,1960,,0.85,26896480.0,Africa
Egypt,EGY,1965,,1.11,30629174.0,Africa
Egypt,EGY,1970,,1.41,34623990.0,Africa
Egypt,EGY,1975,,1.82,38875326.0,Africa
Egypt,EGY,1976,38.0,,39795558.0,Africa
Egypt,EGY,1980,,2.8,43950413.0,Africa
Egypt,EGY,1985,,3.92,50734974.0,Africa
Egypt,EGY,1986,44.0,,52206296.0,Africa
Egypt,EGY,1990,,4.6,58396625.0,Africa
Egypt,EGY,1995,,5.36,65652621.0,Africa
Egypt,EGY,1996,56.0,,67028045.0,Africa
Egypt,EGY,2000,,6.3,73083287.0,Africa
Egypt,EGY,2005,67.0,6.93,81101012.0,Africa
Egypt,EGY,2006,66.0,,82700404.0,Africa
Egypt,EGY,2010,72.0,7.44,89196073.0,Africa
Egypt,EGY,2012,74.0,,93161000.0,Africa
Egypt,EGY,2013,72.0,,95333551.0,Africa
Egypt,EGY,2015,,7.53,99597334.0,Africa
Egypt,EGY,2017,71.0,,103696055.0,Africa
Egypt,EGY,2020,,8.01,109315118.0,Africa
El Salvador,SLV,1870,,0.22,511554.0,North America
El Salvador,SLV,1875,,0.27,573419.0,North America
El Salvador,SLV,1880,,0.34,642161.0,North America
El Salvador,SLV,1885,,0.42,697192.0,North America
El Salvador,SLV,1890,,0.51,750809.0,North America
El Salvador,SLV,1895,,0.6,792081.0,North America
El Salvador,SLV,1900,,0.82,839397.0,North America
El Salvador,SLV,1905,,0.92,933391.0,North America
El Salvador,SLV,1910,,1.15,1045631.0,North America
El Salvador,SLV,1915,,1.21,1171943.0,North America
El Salvador,SLV,1920,,1.28,1307019.0,North America
El Salvador,SLV,1925,,1.35,1450417.0,North America
El Salvador,SLV,1930,,1.41,1600789.0,North America
El Salvador,SLV,1935,,1.41,1711486.0,North America
El Salvador,SLV,1940,,1.41,1826506.0,North America
El Salvador,SLV,1945,,1.54,1986714.0,North America
El Salvador,SLV,1950,37.5,1.55,2183513.0,North America
El Salvador,SLV,1955,,1.7,2456598.0,North America
El Salvador,SLV,1960,,1.98,2791448.0,North America
El Salvador,SLV,1965,,2.41,3199474.0,North America
El Salvador,SLV,1970,,2.9,3668799.0,North America
El Salvador,SLV,1975,,3.37,4120451.0,North America
El Salvador,SLV,1980,,3.74,4540377.0,North America
El Salvador,SLV,1985,,4.57,4894703.0,North America
El Salvador,SLV,1990,,5.08,5399728.0,North America
El Salvador,SLV,1992,74.0,,5585611.0,North America
El Salvador,SLV,1995,,5.8,5762135.0,North America
El Salvador,SLV,2000,,7.04,5943363.0,North America
El Salvador,SLV,2005,,8.08,6005583.0,North America
El Salvador,SLV,2006,84.0,,6002321.0,North America
El Salvador,SLV,2007,82.0,,6009820.0,North America
El Salvador,SLV,2008,84.0,,6029302.0,North America
El Salvador,SLV,2009,84.0,,6048284.0,North America
El Salvador,SLV,2010,84.0,8.06,6068253.0,North America
El Salvador,SLV,2011,85.0,,6090128.0,North America
El Salvador,SLV,2013,87.0,,6138845.0,North America
El Salvador,SLV,2015,88.0,7.67,6183675.0,North America
El Salvador,SLV,2016,88.0,,6200808.0,North America
El Salvador,SLV,2017,88.0,,6213538.0,North America
El Salvador,SLV,2018,89.0,,6219803.0,North America
El Salvador,SLV,2019,89.0,,6222316.0,North America
El Salvador,SLV,2020,90.0,8.1,6234679.0,North America
El Salvador,SLV,2023,90.0,,6309629.0,North America
Equatorial Guinea,GNQ,1950,22.5,,226570.0,Africa
Equatorial Guinea,GNQ,2000,88.0,,703287.0,Africa
Eritrea,ERI,1950,3.0,,814880.0,Africa
Eritrea,ERI,2002,53.0,,2392981.0,Africa
Eritrea,ERI,2008,65.0,,2816331.0,Africa
Estonia,EST,1989,100.0,,1567590.0,Europe
Estonia,EST,2000,100.0,,1397001.0,Europe
Estonia,EST,2011,100.0,,1327366.0,Europe
Estonia,EST,2015,,12.33,1314580.0,Europe
Estonia,EST,2020,,12.29,1329675.0,Europe
Eswatini,SWZ,1870,,0.01,80694.0,Africa
Eswatini,SWZ,1875,,0.01,84799.0,Africa
Eswatini,SWZ,1880,,0.01,89113.0,Africa
Eswatini,SWZ,1885,,0.01,93647.0,Africa
Eswatini,SWZ,1890,,0.01,98411.0,Africa
Eswatini,SWZ,1895,,0.01,103417.0,Africa
Eswatini,SWZ,1900,,0.01,109096.0,Africa
Eswatini,SWZ,1905,,0.01,117859.0,Africa
Eswatini,SWZ,1910,,0.05,127720.0,Africa
Eswatini,SWZ,1915,,0.11,137920.0,Africa
Eswatini,SWZ,1920,,0.15,149409.0,Africa
Eswatini,SWZ,1925,,0.36,165263.0,Africa
Eswatini,SWZ,1930,,0.49,183282.0,Africa
Eswatini,SWZ,1935,,0.62,202637.0,Africa
Eswatini,SWZ,1940,,0.78,223795.0,Africa
Eswatini,SWZ,1945,,0.96,246248.0,Africa
Eswatini,SWZ,1950,17.5,1.27,271670.0,Africa
Eswatini,SWZ,1955,,1.55,307222.0,Africa
Eswatini,SWZ,1960,,1.81,345339.0,Africa
Eswatini,SWZ,1965,,2.16,388342.0,Africa
Eswatini,SWZ,1970,,3.0,441223.0,Africa
Eswatini,SWZ,1975,,3.96,507675.0,Africa
Eswatini,SWZ,1976,55.0,,523339.0,Africa
Eswatini,SWZ,1980,,4.6,596657.0,Africa
Eswatini,SWZ,1985,,5.26,706204.0,Africa
Eswatini,SWZ,1986,67.0,,734736.0,Africa
Eswatini,SWZ,1990,,5.28,872436.0,Africa
Eswatini,SWZ,1995,,5.2,970439.0,Africa
Eswatini,SWZ,2000,82.0,4.62,1041428.0,Africa
Eswatini,SWZ,2005,,4.64,1079022.0,Africa
Eswatini,SWZ,2010,,5.33,1111651.0,Africa
Eswatini,SWZ,2015,,5.77,1142822.0,Africa
Eswatini,SWZ,2020,,6.46,1192734.0,Africa
Eswatini,SWZ,2022,90.74702,,1218921.0,Africa
Ethiopia,ETH,1950,3.0,,17670418.0,Africa
Ethiopia,ETH,1994,27.0,,55611514.0,Africa
Ethiopia,ETH,2004,36.0,,76077211.0,Africa
Ethiopia,ETH,2007,39.0,,83103218.0,Africa
Ethiopia,ETH,2016,47.49159,,106718163.0,Africa
Europe,,1870,,1.1955043,318496223.0,
Europe,,1875,,1.30278,331195305.0,
Europe,,1880,,1.4766871,344673453.0,
Europe,,1885,,1.6514844,358686783.0,
Europe,,1890,,1.8291454,373396202.0,
Europe,,1895,,2.01581,389164415.0,
Europe,,1900,,2.2164466,405874841.0,
Europe,,1905,,2.4723094,424074645.0,
Europe,,1910,,2.6848907,441597178.0,
Europe,,1915,,2.98819,448886334.0,
Europe,,1920,,3.3209662,455905600.0,
Europe,,1925,,3.625755,472684702.0,
Europe,,1930,,3.8634381,491337000.0,
Europe,,1935,,4.219889,509162668.0,
Europe,,1940,,4.57336,526706729.0,
Europe,,1945,,4.9206114,538385925.0,
Europe,,1950,,5.2873154,549374181.0,
Europe,,1955,,5.575027,575990558.0,
Europe,,1960,,5.8116856,606417128.0,
Europe,,1965,,6.2470074,635044327.0,
Europe,,1970,,6.7751517,657660067.0,
Europe,,1975,,7.380262,677953491.0,
Europe,,1980,,7.9766736,694976561.0,
Europe,,1985,,8.54389,709686996.0,
Europe,,1990,,9.28623,724943715.0,
Europe,,1995,,9.9699335,730260103.0,
Europe,,2000,,10.59524,729129967.0,
Europe,,2005,,11.250854,733101021.0,
Europe,,2010,,11.683311,739291483.0,
Europe,,2015,,11.717827,745474876.0,
Europe,,2020,,11.9022875,750844584.0,
Europe and Central Asia (WB),,1994,95.93806,,,
Europe and Central Asia (WB),,1995,96.06758,,,
Europe and Central Asia (WB),,1996,96.22135,,,
Europe and Central Asia (WB),,1997,96.3414,,,
Europe and Central Asia (WB),,1998,96.48624,,,
Europe and Central Asia (WB),,1999,96.59245,,,
Europe and Central Asia (WB),,2000,96.65252,,,
Europe and Central Asia (WB),,2001,96.7528,,,
Europe and Central Asia (WB),,2002,96.91116,,,
Europe and Central Asia (WB),,2003,97.00517,,,
Europe and Central Asia (WB),,2004,97.09123,,,
Europe and Central Asia (WB),,2005,97.21017,,,
Europe and Central Asia (WB),,2006,97.27016,,,
Europe and Central Asia (WB),,2007,97.35178,,,
Europe and Central Asia (WB),,2008,97.47324,,,
Europe and Central Asia (WB),,2009,97.73077,,,
Europe and Central Asia (WB),,2010,97.89465,,,
Europe and Central Asia (WB),,2011,98.03516,,,
Europe and Central Asia (WB),,2012,98.13266,,,
Europe and Central Asia (WB),,2013,98.19623,,,
Europe and Central Asia (WB),,2014,98.23871,,,
Europe and Central Asia (WB),,2015,98.28185,,,
Europe and Central Asia (WB),,2016,98.33891,,,
Europe and Central Asia (WB),,2017,98.41798,,,
Europe and Central Asia (WB),,2018,98.50179,,,
Europe and Central Asia (WB),,2019,98.56401,,,
Europe and Central Asia (WB),,2020,98.60383,,,
Europe and Central Asia (WB),,2021,98.64628,,,
Europe and Central Asia (WB),,2022,98.66442,,,
Europe and Central Asia (WB),,2023,98.68871,,,
Europe and Northern America (SDG),,2003,97.8978,,,
Europe and Northern America (SDG),,2004,97.95613,,,
Europe and Northern America (SDG),,2005,98.00925,,,
Europe and Northern America (SDG),,2006,98.077,,,
Europe and Northern America (SDG),,2018,98.61607,,,
Europe and Northern America (SDG),,2019,98.64308,,,
Europe and Northern America (SDG),,2020,98.66912,,,
Europe and Northern America (SDG),,2021,98.69566,,,
Europe and Northern America (SDG),,2022,98.70273,,,
Falkland Islands,FLK,1950,92.5,,2214.0,South America
Faroe Islands,FRO,1950,98.5,,31690.0,Europe
Fiji,FJI,1870,,0.01,132535.0,Oceania
Fiji,FJI,1875,,0.01,131435.0,Oceania
Fiji,FJI,1880,,0.01,130163.0,Oceania
Fiji,FJI,1885,,0.01,127772.0,Oceania
Fiji,FJI,1890,,0.02,125548.0,Oceania
Fiji,FJI,1895,,0.03,125255.0,Oceania
Fiji,FJI,1900,,0.05,126498.0,Oceania
Fiji,FJI,1905,,0.08,135900.0,Oceania
Fiji,FJI,1910,,0.25,147045.0,Oceania
Fiji,FJI,1915,,0.46,156729.0,Oceania
Fiji,FJI,1920,,0.88,167453.0,Oceania
Fiji,FJI,1925,,1.61,186774.0,Oceania
Fiji,FJI,1930,,2.0,210278.0,Oceania
Fiji,FJI,1935,,2.41,240404.0,Oceania
Fiji,FJI,1940,,2.76,272546.0,Oceania
Fiji,FJI,1945,,3.08,289423.0,Oceania
Fiji,FJI,1950,67.5,3.77,309525.0,Oceania
Fiji,FJI,1955,,4.24,349084.0,Oceania
Fiji,FJI,1960,,4.57,404901.0,Oceania
Fiji,FJI,1965,,5.24,472583.0,Oceania
Fiji,FJI,1970,,5.67,531198.0,Oceania
Fiji,FJI,1975,,6.4,575919.0,Oceania
Fiji,FJI,1980,,7.16,641985.0,Oceania
Fiji,FJI,1985,,7.85,723767.0,Oceania
Fiji,FJI,1990,,9.24,773325.0,Oceania
Fiji,FJI,1995,,10.28,798750.0,Oceania
Fiji,FJI,2000,,9.97,840913.0,Oceania
Fiji,FJI,2005,,9.76,882384.0,Oceania
Fiji,FJI,2010,,10.35,910427.0,Oceania
Fiji,FJI,2015,,11.09,918585.0,Oceania
Fiji,FJI,2020,,11.52,914971.0,Oceania
Finland,FIN,1870,,0.13,1768777.0,Europe
Finland,FIN,1875,,0.16,1894323.0,Europe
Finland,FIN,1880,,0.19,2044905.0,Europe
Finland,FIN,1885,,0.23,2198670.0,Europe
Finland,FIN,1890,,0.3,2358016.0,Europe
